system:time_start,NDVI for pixel Lon:-72.02 Lat:-9.16
"Jul 22, 1999",0.867
"Aug 7, 1999",0.803
"Aug 16, 1999",0.303
"Aug 23, 1999",0.81
"Sep 8, 1999",0.832
"Sep 17, 1999",
"Sep 24, 1999",
"Oct 10, 1999",0.767
"Oct 26, 1999",
"Nov 20, 1999",
"Dec 22, 1999",0.871
"Dec 29, 1999",
"Jan 14, 2000",
"Feb 24, 2000",
"Mar 18, 2000",
"Mar 27, 2000",0.702
"Apr 12, 2000",
"Apr 19, 2000",
"May 5, 2000",
"May 21, 2000",
"May 30, 2000",
"Jun 15, 2000",
"Jun 22, 2000",
"Jul 8, 2000",0.826
"Aug 2, 2000",0.851
"Sep 3, 2000",
"Sep 10, 2000",0.804
"Sep 19, 2000",0.857
"Oct 5, 2000",
"Oct 28, 2000",
"Nov 6, 2000",
"Nov 13, 2000",
"Dec 15, 2000",
"Dec 24, 2000",
"Jan 9, 2001",
"Jan 16, 2001",0.741
"Feb 10, 2001",
"Feb 17, 2001",
"Mar 5, 2001",
"Mar 14, 2001",
"Apr 15, 2001",
"Apr 22, 2001",
"May 8, 2001",
"May 17, 2001",
"May 24, 2001",0.845
"Jun 25, 2001",0.88
"Jul 4, 2001",
"Jul 11, 2001",0.843
"Jul 20, 2001",
"Jul 27, 2001",0.832
"Aug 5, 2001",0.825
"Aug 12, 2001",0.84
"Aug 28, 2001",0.846
"Sep 13, 2001",
"Sep 22, 2001",
"Sep 29, 2001",
"Oct 8, 2001",0.857
"Oct 15, 2001",0.857
"Oct 24, 2001",
"Oct 31, 2001",
"Nov 9, 2001",
"Nov 16, 2001",
"Jan 3, 2002",
"Jan 12, 2002",0.874
"Feb 4, 2002",
"Feb 13, 2002",0.597
"Mar 17, 2002",
"Apr 2, 2002",0.784
"Apr 9, 2002",
"Apr 25, 2002",
"May 4, 2002",0.817
"May 11, 2002",0.855
"May 20, 2002",0.84
"May 27, 2002",0.812
"Jun 5, 2002",
"Jun 12, 2002",
"Jun 21, 2002",0.823
"Jun 28, 2002",
"Jul 14, 2002",0.764
"Jul 23, 2002",0.844
"Jul 30, 2002",0.839
"Aug 8, 2002",0.809
"Aug 15, 2002",0.754
"Sep 9, 2002",
"Sep 16, 2002",0.833
"Sep 25, 2002",
"Oct 2, 2002",0.831
"Oct 11, 2002",0.85
"Oct 18, 2002",
"Oct 27, 2002",
"Nov 3, 2002",
"Nov 19, 2002",
"Dec 14, 2002",
"Jan 22, 2003",
"Feb 16, 2003",0.726
"Mar 11, 2003",
"Mar 20, 2003",
"Apr 28, 2003",0.823
"May 7, 2003",
"May 14, 2003",0.826
"May 23, 2003",
"May 30, 2003",
"Aug 2, 2003",
"Aug 11, 2003",
"Sep 28, 2003",
"Oct 5, 2003",
"Oct 14, 2003",
"Oct 21, 2003",
"Nov 6, 2003",
"Dec 8, 2003",
"Jan 25, 2004",
"Feb 26, 2004",
"Apr 30, 2004",
"May 9, 2004",
"Jun 10, 2004",
"Jun 17, 2004",0.875
"Jun 26, 2004",
"Jul 28, 2004",0.843
"Aug 4, 2004",
"Aug 20, 2004",
"Aug 29, 2004",0.895
"Sep 5, 2004",0.491
"Sep 14, 2004",0.776
"Sep 21, 2004",
"Sep 30, 2004",
"Oct 7, 2004",
"Oct 16, 2004",0.831
"Oct 23, 2004",
"Nov 17, 2004",
"Feb 28, 2005",
"Apr 1, 2005",
"Apr 10, 2005",
"May 3, 2005",
"Jun 4, 2005",0.861
"Jun 20, 2005",
"Jun 29, 2005",
"Jul 15, 2005",0.856
"Jul 22, 2005",0.823
"Jul 31, 2005",0.854
"Aug 7, 2005",
"Aug 16, 2005",
"Aug 23, 2005",
"Sep 1, 2005",
"Sep 8, 2005",
"Sep 24, 2005",0.797
"Oct 3, 2005",0.812
"Nov 11, 2005",0.864
"Mar 12, 2006",
"Apr 20, 2006",
"May 15, 2006",0.84
"Jun 23, 2006",0.815
"Jul 2, 2006",0.847
"Jul 9, 2006",
"Jul 18, 2006",0.86
"Jul 25, 2006",
"Aug 10, 2006",0.762
"Aug 19, 2006",
"Aug 26, 2006",0.783
"Sep 4, 2006",
"Sep 11, 2006",
"Sep 20, 2006",0.859
"Oct 13, 2006",
"Oct 29, 2006",
"Nov 14, 2006",
"Nov 23, 2006",
"Mar 22, 2007",
"Apr 23, 2007",
"May 2, 2007",
"May 18, 2007",
"Jun 3, 2007",
"Jun 10, 2007",
"Jun 19, 2007",
"Jul 5, 2007",0.873
"Jul 21, 2007",
"Jul 28, 2007",0.829
"Aug 6, 2007",
"Aug 13, 2007",0.804
"Aug 22, 2007",0.81
"Sep 7, 2007",0.779
"Sep 14, 2007",
"Sep 23, 2007",0.838
"Sep 30, 2007",
"Nov 1, 2007",
"Nov 10, 2007",0.863
"Dec 3, 2007",
"Apr 9, 2008",
"Apr 18, 2008",
"May 4, 2008",
"May 27, 2008",
"Jun 5, 2008",
"Jun 28, 2008",0.853
"Jul 7, 2008",0.823
"Jul 14, 2008",0.815
"Jul 23, 2008",
"Aug 8, 2008",
"Aug 15, 2008",
"Aug 24, 2008",0.81
"Aug 31, 2008",
"Sep 9, 2008",0.859
"Sep 25, 2008",
"Oct 2, 2008",0.866
"Apr 5, 2009",
"May 14, 2009",
"May 23, 2009",
"Jul 1, 2009",0.828
"Jul 10, 2009",0.86
"Jul 17, 2009",0.844
"Jul 26, 2009",
"Aug 18, 2009",
"Sep 3, 2009",
"Sep 12, 2009",0.827
"Sep 19, 2009",
"Sep 28, 2009",
"Oct 5, 2009",
"Oct 30, 2009",0.842
"Nov 15, 2009",
"Jan 2, 2010",
"Apr 8, 2010",0.823
"Apr 15, 2010",
"Apr 24, 2010",
"May 17, 2010",
"Jun 11, 2010",
"Jun 18, 2010",
"Jun 27, 2010",0.846
"Jul 4, 2010",0.814
"Jul 13, 2010",
"Jul 29, 2010",
"Aug 5, 2010",
"Aug 14, 2010",
"Apr 2, 2011",
"May 4, 2011",
"May 29, 2011",0.86
"Jun 14, 2011",0.854
"Jun 21, 2011",
"Jun 30, 2011",
"Jul 7, 2011",0.858
"Jul 16, 2011",0.798
"Aug 1, 2011",
"Aug 8, 2011",
"Aug 17, 2011",
"Sep 2, 2011",0.783
"Sep 9, 2011",
"Nov 5, 2011",0.848
"Nov 28, 2011",
"Dec 23, 2011",
"Feb 25, 2012",0.874
"Mar 19, 2012",
"Apr 4, 2012",0.749
"Apr 20, 2012",
"May 6, 2012",0.857
"May 31, 2012",0.869
"Jun 16, 2012",
"Jun 23, 2012",
"Jul 2, 2012",0.807
"Jul 9, 2012",0.755
"Jul 18, 2012",0.815
"Aug 3, 2012",
"Aug 10, 2012",
"Aug 19, 2012",
"Aug 26, 2012",
"Sep 4, 2012",0.778
"Sep 11, 2012",
"Sep 20, 2012",
"Oct 13, 2012",
"Oct 22, 2012",
"Oct 29, 2012",0.873
"Nov 14, 2012",
"Nov 23, 2012",
"Jan 1, 2013",0.881
"Jan 10, 2013",
"Jan 26, 2013",
"Mar 6, 2013",
"Mar 15, 2013",
"Apr 7, 2013",
"Apr 16, 2013",
"Apr 23, 2013",0.85
"May 2, 2013",
"Jun 3, 2013",0.849
"Jul 12, 2013",
"Jul 21, 2013",
"Jul 28, 2013",
"Aug 13, 2013",
"Aug 22, 2013",0.824
"Aug 29, 2013",
"Sep 7, 2013",
"Sep 14, 2013",0.826
"Sep 30, 2013",
"Oct 9, 2013",0.84
"Jan 20, 2014",
"Jan 29, 2014",
"Mar 2, 2014",0.838
"May 5, 2014",
"Jun 6, 2014",
"Jun 13, 2014",
"Jun 22, 2014",0.769
"Jul 15, 2014",
"Jul 24, 2014",
"Jul 31, 2014",0.881
"Aug 9, 2014",
"Aug 16, 2014",
"Aug 25, 2014",0.83
"Sep 1, 2014",
"Sep 10, 2014",
"Sep 17, 2014",0.847
"Sep 26, 2014",
"Oct 12, 2014",
"Oct 19, 2014",0.842
"Nov 4, 2014",
"Dec 6, 2014",
"Feb 17, 2015",0.848
"May 24, 2015",
"Jun 16, 2015",
"Jul 2, 2015",
"Jul 11, 2015",
"Jul 18, 2015",
"Jul 27, 2015",0.808
"Aug 3, 2015",0.845
"Aug 19, 2015",0.809
"Sep 4, 2015",0.757
"Sep 20, 2015",0.839
"Oct 6, 2015",
"Oct 22, 2015",0.845
"Oct 31, 2015",
"Nov 16, 2015",
"Feb 20, 2016",
"Mar 14, 2016",0.836
"Apr 8, 2016",0.883
"May 1, 2016",0.863
"May 10, 2016",
"May 26, 2016",0.868
"Jun 18, 2016",
"Jun 27, 2016",
"Jul 4, 2016",
"Jul 13, 2016",
"Jul 20, 2016",
"Jul 29, 2016",0.829
"Aug 5, 2016",0.782
"Aug 14, 2016",0.853
"Aug 21, 2016",
"Aug 30, 2016",
"Sep 6, 2016",0.835
"Sep 22, 2016",
"Oct 1, 2016",
"Oct 17, 2016",0.844
"Oct 24, 2016",
"Nov 2, 2016",
"Mar 1, 2017",
"May 13, 2017",
"May 20, 2017",
"Jun 5, 2017",0.844
"Jun 14, 2017",0.846
"Jun 30, 2017",
"Jul 7, 2017",
"Jul 16, 2017",
"Jul 23, 2017",0.859
"Aug 1, 2017",0.822
"Aug 8, 2017",0.819
"Aug 17, 2017",
"Aug 24, 2017",0.795
"Sep 2, 2017",0.725
"Sep 9, 2017",
"Sep 18, 2017",
"Oct 11, 2017",
"Oct 20, 2017",
"Oct 27, 2017",0.773
"Dec 7, 2017",
"Dec 14, 2017",
"Jan 31, 2018",
"Mar 13, 2018",
"Mar 20, 2018",
"Apr 5, 2018",0.834
"Apr 21, 2018",
"May 23, 2018",0.842
"Jun 1, 2018",
"Jun 8, 2018",
"Jun 17, 2018",
"Jun 24, 2018",
"Jul 3, 2018",
"Jul 10, 2018",0.821
"Jul 19, 2018",
"Jul 26, 2018",0.823
"Aug 4, 2018",
"Aug 11, 2018",0.811
