system:time_start,NDVI for pixel Lon:22.50 Lat:-19.10
"May 8, 2016",0.528
"May 24, 2016",0.511
"Jun 25, 2016",0.538
"Jul 11, 2016",0.483
"Jul 27, 2016",0.48
"Aug 28, 2016",0.358
"Sep 29, 2016",0.37
"Oct 15, 2016",0.362
"Oct 31, 2016",0.442
"Nov 16, 2016",0.417
"Dec 2, 2016",0.425
"Dec 18, 2016",0.525
"Feb 4, 2017",
"Feb 20, 2017",
"Mar 24, 2017",0.641
"Apr 9, 2017",0.602
"May 11, 2017",0.518
"May 27, 2017",0.488
"Jun 12, 2017",0.549
"Jun 28, 2017",0.44
"Jul 14, 2017",0.461
"Jul 30, 2017",0.423
"Aug 15, 2017",0.404
"Aug 31, 2017",0.354
"Sep 16, 2017",0.369
"Oct 2, 2017",0.386
"Oct 18, 2017",0.361
"Nov 3, 2017",
"Nov 19, 2017",0.43
"Dec 21, 2017",
"Jan 6, 2018",0.211
"Jan 22, 2018",
"Mar 11, 2018",
"Mar 27, 2018",0.615
"Apr 12, 2018",0.576
"Apr 28, 2018",0.672
"May 14, 2018",0.599
"May 30, 2018",0.47
"Jul 1, 2018",0.588
"Jul 17, 2018",0.495
"Aug 2, 2018",0.423
