system:time_start,NDVI for pixel Lon:22.50 Lat:-19.10
"Aug 30, 1999",0.428
"Nov 2, 1999",0.497
"Jan 5, 2000",
"Apr 10, 2000",0.659
"Aug 16, 2000",
"Oct 19, 2000",0.474
"Nov 20, 2000",0.528
"Jan 7, 2001",0.492
"Feb 24, 2001",
"Mar 12, 2001",0.491
"Mar 28, 2001",0.579
"Apr 29, 2001",
"Jul 18, 2001",0.458
"Aug 3, 2001",0.498
"Aug 19, 2001",
"Sep 4, 2001",
"Sep 20, 2001",0.542
"Oct 6, 2001",0.499
"Oct 22, 2001",0.486
"Nov 23, 2001",
"Dec 9, 2001",
"Dec 25, 2001",0.64
"Jan 10, 2002",0.629
"Jan 26, 2002",
"Feb 11, 2002",0.555
"Feb 27, 2002",0.587
"Mar 31, 2002",0.546
"May 2, 2002",0.53
"May 18, 2002",0.437
"Jun 3, 2002",0.443
"Jun 19, 2002",0.472
"Jul 5, 2002",0.478
"Jul 21, 2002",0.342
"Aug 6, 2002",0.515
"Aug 22, 2002",0.458
"Sep 7, 2002",
"Sep 23, 2002",
"Oct 25, 2002",0.444
"Dec 28, 2002",0.503
"Jan 13, 2003",0.512
"Feb 14, 2003",
"Mar 2, 2003",0.456
"Mar 18, 2003",0.483
"Apr 3, 2003",0.481
"Apr 19, 2003",0.488
"Sep 26, 2003",0.371
"Dec 15, 2003",0.467
"Dec 31, 2003",
"Jan 16, 2004",0.431
"Feb 1, 2004",0.495
"May 7, 2004",0.575
"May 23, 2004",0.485
"Jun 8, 2004",0.585
"Jun 24, 2004",0.562
"Jul 10, 2004",0.521
"Sep 12, 2004",0.472
"Oct 14, 2004",
"Oct 30, 2004",
"Dec 1, 2004",
"Jan 2, 2005",0.532
"Feb 3, 2005",
"Mar 7, 2005",0.584
"Apr 24, 2005",0.56
"May 10, 2005",0.536
"May 26, 2005",0.524
"Jun 11, 2005",0.453
"Oct 1, 2005",0.446
"Oct 17, 2005",0.437
"Nov 2, 2005",0.469
"Nov 18, 2005",
"Dec 20, 2005",
"Jan 21, 2006",0.573
"Mar 26, 2006",0.648
"May 13, 2006",0.531
"May 29, 2006",0.486
"Sep 2, 2006",0.432
"Sep 18, 2006",0.434
"Nov 21, 2006",0.466
"Dec 23, 2006",0.526
"Feb 25, 2007",0.5
"Mar 13, 2007",0.484
"Apr 14, 2007",0.625
"Apr 30, 2007",0.633
"May 16, 2007",0.533
"Jun 17, 2007",0.528
"Jul 19, 2007",0.525
"Aug 4, 2007",0.455
"Aug 20, 2007",0.466
"Sep 5, 2007",0.449
"Dec 26, 2007",0.511
"Feb 12, 2008",0.559
"Feb 28, 2008",
"Mar 31, 2008",0.509
"Apr 16, 2008",0.569
"Aug 22, 2008",0.43
"Sep 7, 2008",0.412
"Sep 23, 2008",0.475
"Oct 9, 2008",
"Oct 25, 2008",0.402
"Nov 26, 2008",0.473
"Dec 12, 2008",
"Jan 29, 2009",0.524
"Feb 14, 2009",0.468
"Mar 2, 2009",
"Mar 18, 2009",0.528
"Apr 19, 2009",0.556
"May 5, 2009",0.555
"Nov 13, 2009",0.448
"Dec 15, 2009",
"Jan 16, 2010",0.478
"Feb 1, 2010",0.548
"Mar 21, 2010",0.553
"Apr 22, 2010",0.588
"Oct 15, 2010",0.45
"Oct 31, 2010",0.491
"Feb 20, 2011",
"May 11, 2011",0.47
"May 27, 2011",0.603
"Jun 12, 2011",0.527
"Jul 30, 2011",0.516
"Aug 15, 2011",0.371
"Oct 18, 2011",0.452
"Jan 6, 2012",0.586
"Mar 26, 2012",
"Jun 14, 2012",0.56
"Jun 30, 2012",0.492
"Oct 4, 2012",0.452
"Nov 5, 2012",0.474
"Dec 7, 2012",
"Jan 24, 2013",0.595
"Feb 9, 2013",
"Feb 25, 2013",0.553
"Mar 13, 2013",0.634
"Apr 30, 2013",0.527
"May 16, 2013",0.52
"Jun 17, 2013",0.546
"Jul 3, 2013",0.506
"Oct 7, 2013",0.36
"Oct 23, 2013",0.446
"Dec 26, 2013",
"Jan 11, 2014",0.552
"Feb 12, 2014",0.501
"Feb 28, 2014",0.515
"Mar 16, 2014",0.552
"Apr 1, 2014",0.522
"Apr 17, 2014",0.582
"May 3, 2014",0.501
"May 19, 2014",0.405
"Jun 4, 2014",0.345
"Jun 20, 2014",0.447
"Jul 6, 2014",0.447
"Sep 24, 2014",0.407
"Oct 10, 2014",
"Oct 26, 2014",
"Dec 29, 2014",0.453
"Jan 14, 2015",0.44
"Feb 15, 2015",0.534
"Mar 19, 2015",0.512
"Apr 20, 2015",0.616
"May 6, 2015",0.567
"Jun 7, 2015",0.564
"Jul 9, 2015",0.467
"Jul 25, 2015",0.46
"Aug 10, 2015",0.341
"Sep 11, 2015",0.364
"Sep 27, 2015",0.318
"Oct 13, 2015",
"Oct 29, 2015",0.368
"Nov 14, 2015",0.364
"Nov 30, 2015",0.328
"Dec 16, 2015",0.387
"Jan 1, 2016",0.401
"Feb 2, 2016",
"Feb 18, 2016",
"Mar 21, 2016",0.413
"Apr 22, 2016",0.562
