system:time_start,NDVI for pixel Lon:22.23 Lat:-19.09
"Apr 3, 2013",0.518
"May 24, 2013",0.391
"Jun 9, 2013",0.35
"Jun 25, 2013",0.361
"Jul 11, 2013",0.381
"Jul 27, 2013",0.33
"Aug 12, 2013",0.335
"Aug 28, 2013",0.287
"Sep 13, 2013",0.275
"Sep 29, 2013",
"Oct 15, 2013",0.301
"Oct 31, 2013",0.328
"Nov 16, 2013",0.442
"Dec 2, 2013",
"Jan 19, 2014",0.579
"Feb 4, 2014",
"Feb 20, 2014",0.657
"Mar 8, 2014",
"Mar 24, 2014",0.656
"Apr 9, 2014",0.659
"Apr 25, 2014",0.631
"May 11, 2014",0.585
"May 27, 2014",0.541
"Jun 12, 2014",0.517
"Jun 28, 2014",0.458
"Jul 14, 2014",0.406
"Jul 30, 2014",0.418
"Aug 15, 2014",0.368
"Aug 31, 2014",0.329
"Sep 16, 2014",0.305
"Oct 2, 2014",0.3
"Oct 18, 2014",0.299
"Nov 19, 2014",0.359
"Dec 5, 2014",
"Dec 21, 2014",
"Jan 6, 2015",0.605
"Jan 22, 2015",
"Feb 7, 2015",0.5
"Feb 23, 2015",0.526
"Mar 11, 2015",0.511
"Mar 27, 2015",0.444
"Apr 12, 2015",0.583
"Apr 28, 2015",0.588
"May 14, 2015",0.548
"May 30, 2015",
"Jun 15, 2015",0.503
"Jul 1, 2015",0.466
"Jul 17, 2015",0.421
"Aug 2, 2015",0.429
"Aug 18, 2015",0.385
"Sep 3, 2015",0.333
"Sep 19, 2015",0.318
"Oct 5, 2015",
"Oct 21, 2015",0.316
"Nov 6, 2015",0.296
"Nov 22, 2015",0.341
"Dec 8, 2015",
"Dec 24, 2015",0.425
"Jan 9, 2016",
"Jan 25, 2016",
"Feb 10, 2016",0.538
"Mar 29, 2016",0.638
"Apr 14, 2016",0.648
"Apr 30, 2016",0.578
"May 16, 2016",0.528
"Jun 1, 2016",0.51
"Jun 17, 2016",0.502
"Jul 3, 2016",0.428
"Jul 19, 2016",0.398
"Aug 4, 2016",0.389
"Aug 20, 2016",0.348
"Sep 5, 2016",0.329
"Sep 21, 2016",0.292
"Oct 7, 2016",0.298
"Oct 23, 2016",
"Nov 8, 2016",0.324
"Dec 10, 2016",
"Dec 26, 2016",
"Jan 27, 2017",
"Feb 12, 2017",
"Mar 16, 2017",0.699
"Apr 1, 2017",0.673
"Apr 17, 2017",0.657
"May 3, 2017",0.664
"May 19, 2017",0.578
"Jun 4, 2017",
"Jun 20, 2017",0.553
"Jul 6, 2017",0.573
"Jul 22, 2017",0.52
"Aug 7, 2017",0.423
"Aug 23, 2017",0.373
"Sep 8, 2017",0.327
"Sep 24, 2017",0.335
"Oct 10, 2017",0.262
"Oct 26, 2017",
"Nov 11, 2017",0.286
"Nov 27, 2017",
"Dec 13, 2017",
"Dec 29, 2017",
"Jan 14, 2018",0.38
"Jan 30, 2018",
"Feb 15, 2018",0.465
"Mar 19, 2018",0.473
"Apr 4, 2018",
"Apr 20, 2018",0.525
"May 6, 2018",0.495
"May 22, 2018",0.473
"Jun 7, 2018",0.461
"Jun 23, 2018",0.463
"Jul 9, 2018",0.447
"Jul 25, 2018",0.412
"Aug 10, 2018",0.37
"Aug 26, 2018",0.327
