system:time_start,NDVI for pixel Lon:22.23 Lat:-19.09
"Jun 9, 1984",0.453
"Sep 13, 1984",0.201
"Sep 29, 1984",0.203
"Apr 9, 1985",0.437
"Nov 6, 1986",
"Nov 22, 1986",0.386
"Dec 24, 1986",0.341
"Jan 9, 1987",
"Feb 10, 1987",0.397
"Feb 26, 1987",
"Mar 14, 1987",
"Mar 30, 1987",0.419
"Jun 2, 1987",0.342
"Jun 18, 1987",0.22
"Jul 20, 1987",0.283
"Sep 6, 1987",0.185
"Jan 14, 1989",0.453
"Feb 15, 1989",0.628
"Mar 3, 1989",0.679
"Mar 19, 1989",0.603
"Apr 4, 1989",0.541
"Apr 20, 1989",0.568
"May 22, 1989",0.526
"Jul 9, 1989",0.354
"Jul 25, 1989",0.33
"Aug 10, 1989",0.287
"Aug 26, 1989",0.238
"Nov 30, 1989",0.259
"Feb 18, 1990",0.423
"Mar 6, 1990",0.469
"Mar 22, 1990",0.393
"Apr 7, 1990",0.48
"Apr 23, 1990",0.416
"May 25, 1990",0.396
"Jun 10, 1990",0.389
"Jun 26, 1990",0.248
"Jul 12, 1990",0.274
"Aug 29, 1990",0.204
"Sep 30, 1990",0.208
"Nov 1, 1990",0.193
"Dec 19, 1990",
"Jan 4, 1991",0.297
"Jan 20, 1991",0.419
"Feb 21, 1991",0.605
"Mar 9, 1991",0.53
"May 12, 1991",0.472
"Jun 13, 1991",0.442
"Jun 29, 1991",0.32
"Jul 15, 1991",0.354
"Jul 31, 1991",0.248
"Aug 16, 1991",0.28
"Oct 3, 1991",0.215
"Oct 19, 1991",
"Jan 7, 1992",
"Feb 8, 1992",0.393
"Feb 24, 1992",0.346
"Mar 27, 1992",0.469
"Apr 12, 1992",0.41
"May 14, 1992",0.377
"Jun 15, 1992",0.307
"Aug 2, 1992",0.211
"Oct 5, 1992",0.184
"Oct 21, 1992",0.191
"Nov 6, 1992",
"Dec 8, 1992",0.407
"Dec 24, 1992",0.457
"Jan 25, 1993",
"Mar 14, 1993",0.563
"Apr 15, 1993",0.472
"May 17, 1993",0.505
"Jul 4, 1993",
"Oct 8, 1993",
"Oct 24, 1993",
"Dec 11, 1993",0.195
"Mar 17, 1994",0.555
"Apr 18, 1994",0.509
"Jun 21, 1994",0.27
"Jul 7, 1994",0.298
"Aug 8, 1994",0.256
"Oct 11, 1994",0.258
"Nov 28, 1994",0.269
"Dec 14, 1994",0.249
"Feb 16, 1995",0.382
"Mar 4, 1995",0.384
"Mar 20, 1995",0.365
"Apr 21, 1995",0.401
"Jun 8, 1995",0.384
"Aug 11, 1995",0.223
"Aug 27, 1995",
"Sep 12, 1995",0.204
"Oct 14, 1995",
"Dec 17, 1995",
"Feb 3, 1996",0.702
"Mar 6, 1996",0.545
"Mar 22, 1996",0.401
"Apr 7, 1996",0.38
"Apr 23, 1996",0.393
"Jun 26, 1996",0.362
"Jul 12, 1996",0.261
"Aug 13, 1996",0.258
"Sep 14, 1996",0.227
"Sep 30, 1996",0.222
"Oct 16, 1996",0.224
"Dec 3, 1996",
"Dec 19, 1996",0.431
"Jan 4, 1997",0.427
"Jan 20, 1997",
"Feb 21, 1997",0.595
"Mar 9, 1997",0.531
"Apr 10, 1997",0.396
"Apr 26, 1997",0.356
"Jun 29, 1997",0.332
"Jul 15, 1997",0.26
"Jul 31, 1997",0.242
"Aug 16, 1997",0.227
"Sep 17, 1997",0.259
"Oct 3, 1997",0.217
"Jan 7, 1998",
"Jan 23, 1998",0.478
"Feb 8, 1998",0.461
"Feb 24, 1998",0.445
"Apr 29, 1998",0.324
"May 31, 1998",0.33
"Jul 18, 1998",0.318
"Aug 3, 1998",0.307
"Aug 19, 1998",0.283
"Sep 4, 1998",0.237
"Oct 22, 1998",0.245
"Nov 23, 1998",0.303
"Dec 25, 1998",0.535
"Jan 10, 1999",0.384
"Jan 26, 1999",
"Feb 11, 1999",0.426
"Feb 27, 1999",0.396
"Jul 5, 1999",
"Feb 14, 2000",
"Apr 2, 2000",
"Aug 24, 2000",0.325
"Sep 9, 2000",0.241
"Sep 25, 2000",0.276
"May 7, 2001",0.51
"Jul 10, 2001",0.369
"Aug 11, 2001",0.228
"Dec 7, 2003",0.246
"Mar 12, 2004",0.529
"Apr 13, 2004",0.538
"Apr 29, 2004",0.502
"May 31, 2004",0.354
"Jun 16, 2004",0.445
"Jul 2, 2004",0.299
"Jul 18, 2004",0.392
"Aug 3, 2004",0.288
"Sep 4, 2004",0.213
"Sep 20, 2004",0.214
"Feb 11, 2005",
"Apr 16, 2005",0.466
"Jul 21, 2005",0.281
"Sep 7, 2005",0.194
"Sep 23, 2005",0.209
"Oct 9, 2005",0.206
"Nov 10, 2005",
"Feb 14, 2006",0.555
"Mar 2, 2006",0.541
"Apr 3, 2006",0.639
"Jun 6, 2006",0.475
"Jun 22, 2006",0.549
"Jul 8, 2006",0.514
"Jul 24, 2006",0.422
"Aug 9, 2006",0.435
"Aug 25, 2006",0.298
"Sep 10, 2006",
"Sep 26, 2006",0.242
"Dec 15, 2006",0.493
"Feb 17, 2007",0.457
"Mar 5, 2007",
"Apr 6, 2007",0.451
"Apr 22, 2007",0.387
"Jul 27, 2007",0.346
"Mar 7, 2008",0.637
"Apr 8, 2008",0.595
"Apr 24, 2008",0.521
"May 10, 2008",0.545
"Aug 30, 2008",0.218
"Sep 15, 2008",0.19
"Oct 1, 2008",0.135
"Mar 26, 2009",0.565
"Apr 27, 2009",0.485
"Nov 5, 2009",
"Jan 24, 2010",
"Mar 29, 2010",0.586
"May 16, 2010",0.511
