system:time_start,NDVI for pixel Lon:-71.96 Lat:-9.20
"May 26, 1984",
"Jul 4, 1984",0.5
"Aug 14, 1984",0.748
"Aug 14, 1984",0.736
"Aug 30, 1984",0.748
"Aug 30, 1984",0.754
"Sep 15, 1984",0.797
"Sep 15, 1984",0.766
"Oct 1, 1984",0.779
"Jun 14, 1985",0.878
"Jun 30, 1985",
"Jun 30, 1985",
"Jul 16, 1985",0.771
"Jul 23, 1985",0.817
"Aug 24, 1985",
"Sep 9, 1985",0.723
"Apr 14, 1986",
"May 16, 1986",
"Jun 1, 1986",0.835
"Jun 17, 1986",0.826
"Jun 17, 1986",0.841
"Jul 3, 1986",0.805
"Jul 10, 1986",0.801
"Jul 19, 1986",0.825
"Jul 19, 1986",0.791
"Jul 26, 1986",0.801
"Aug 4, 1986",0.791
"Aug 11, 1986",0.779
"Sep 12, 1986",0.556
"Sep 21, 1986",
"Sep 21, 1986",
"Oct 7, 1986",0.845
"Oct 14, 1986",0.85
"May 19, 1987",0.803
"May 26, 1987",0.829
"Jun 11, 1987",0.839
"Jun 20, 1987",0.826
"Jun 27, 1987",0.833
"Jul 6, 1987",0.773
"Jul 13, 1987",0.783
"Jul 29, 1987",0.821
"Aug 14, 1987",0.786
"Aug 23, 1987",0.772
"Aug 30, 1987",0.759
"Sep 8, 1987",0.758
"Sep 15, 1987",
"Sep 24, 1987",
"Oct 1, 1987",0.73
"Oct 10, 1987",
"Oct 26, 1987",
"Apr 19, 1988",0.728
"May 12, 1988",0.822
"Jun 13, 1988",0.831
"Jun 22, 1988",0.809
"Jul 15, 1988",0.82
"Jul 24, 1988",
"Jul 24, 1988",
"Aug 9, 1988",0.778
"Aug 16, 1988",
"Aug 25, 1988",0.713
"Sep 1, 1988",
"Sep 10, 1988",0.733
"Sep 10, 1988",0.749
"Sep 26, 1988",
"May 8, 1989",0.856
"May 8, 1989",0.848
"May 24, 1989",0.818
"May 24, 1989",0.825
"Jun 9, 1989",
"Jun 9, 1989",0.612
"Jul 2, 1989",
"Jul 18, 1989",0.839
"Jul 27, 1989",
"Aug 3, 1989",
"Aug 12, 1989",0.786
"Aug 19, 1989",
"Sep 4, 1989",0.783
"Sep 13, 1989",0.801
"Sep 13, 1989",0.79
"Feb 4, 1990",0.833
"Feb 20, 1990",
"Mar 15, 1990",0.841
"Apr 9, 1990",
"Apr 16, 1990",
"May 18, 1990",
"May 27, 1990",
"May 27, 1990",
"Jun 12, 1990",0.842
"Jun 19, 1990",0.841
"Jun 28, 1990",0.845
"Jun 28, 1990",0.834
"Jul 14, 1990",0.829
"Jul 14, 1990",0.831
"Jul 30, 1990",
"Jul 30, 1990",
"Aug 6, 1990",0.757
"Aug 15, 1990",0.775
"Aug 31, 1990",0.799
"Sep 7, 1990",0.833
"Sep 16, 1990",0.834
"Sep 23, 1990",0.818
"Oct 2, 1990",0.838
"Oct 2, 1990",0.851
"Mar 18, 1991",
"Mar 27, 1991",
"May 14, 1991",0.821
"May 21, 1991",0.761
"May 30, 1991",
"Jun 6, 1991",0.812
"Jun 15, 1991",0.797
"Jun 15, 1991",0.795
"Jun 22, 1991",0.826
"Jul 1, 1991",0.801
"Jul 1, 1991",0.759
"Jul 8, 1991",0.736
"Jul 17, 1991",0.772
"Jul 17, 1991",0.775
"Jul 24, 1991",0.742
"Aug 9, 1991",0.732
"Aug 18, 1991",0.523
"Aug 18, 1991",0.524
"Sep 3, 1991",
"Sep 10, 1991",0.286
"Sep 26, 1991",
"Oct 5, 1991",0.754
"Oct 5, 1991",0.76
"Oct 12, 1991",0.769
"Oct 21, 1991",
"Nov 22, 1991",
"Feb 1, 1992",0.611
"Apr 21, 1992",
"Apr 30, 1992",0.784
"Apr 30, 1992",0.784
"May 7, 1992",
"Jun 17, 1992",0.783
"Jun 17, 1992",0.787
"Jun 24, 1992",0.782
"Jul 26, 1992",0.794
"Aug 4, 1992",
"Aug 4, 1992",
"Aug 27, 1992",0.753
"Sep 5, 1992",
"Sep 5, 1992",
"Sep 21, 1992",0.782
"Sep 28, 1992",
"Nov 15, 1992",0.668
"Apr 17, 1993",
"May 3, 1993",0.801
"May 3, 1993",0.804
"May 10, 1993",0.786
"May 19, 1993",0.825
"Jun 4, 1993",0.843
"Jun 4, 1993",0.843
"Jun 27, 1993",0.733
"Jul 6, 1993",
"Jul 6, 1993",0.769
"Jul 22, 1993",
"Jul 22, 1993",
"Aug 7, 1993",0.801
"Aug 7, 1993",0.796
"Aug 14, 1993",0.718
"Aug 30, 1993",0.819
"Sep 8, 1993",0.739
"Sep 8, 1993",0.76
"Oct 10, 1993",
"Oct 10, 1993",
"Dec 29, 1993",0.839
"Apr 27, 1994",
"May 6, 1994",
"May 22, 1994",
"May 29, 1994",0.81
"Jun 7, 1994",
"Jun 14, 1994",
"Jun 30, 1994",0.848
"Aug 1, 1994",0.755
"Aug 10, 1994",0.747
"Aug 10, 1994",0.742
"Aug 17, 1994",0.705
"Nov 5, 1994",0.81
"Nov 14, 1994",
"Mar 29, 1995",0.78
"Apr 14, 1995",0.844
"Apr 23, 1995",0.857
"May 9, 1995",
"May 25, 1995",0.83
"Jun 10, 1995",0.804
"Jun 10, 1995",0.821
"Jun 17, 1995",0.851
"Jul 3, 1995",0.844
"Jul 12, 1995",0.824
"Jul 12, 1995",0.825
"Jul 19, 1995",0.802
"Jul 28, 1995",0.825
"Jul 28, 1995",0.806
"Aug 29, 1995",0.457
"Aug 29, 1995",0.44
"Sep 5, 1995",0.257
"Sep 14, 1995",0.646
"Sep 14, 1995",0.711
"Oct 7, 1995",0.811
"Oct 16, 1995",0.642
"Oct 16, 1995",0.611
"Nov 1, 1995",
"Nov 8, 1995",0.874
"Feb 21, 1996",
"Mar 8, 1996",0.765
"Mar 8, 1996",0.769
"Apr 25, 1996",0.803
"May 18, 1996",0.852
"Jun 12, 1996",0.842
"Jun 12, 1996",0.832
"Jun 19, 1996",0.757
"Jul 5, 1996",0.841
"Jul 14, 1996",0.831
"Jul 14, 1996",0.832
"Jul 21, 1996",
"Jul 30, 1996",
"Jul 30, 1996",
"Aug 6, 1996",
"Aug 15, 1996",0.802
"Aug 15, 1996",0.769
"Aug 31, 1996",0.783
"Aug 31, 1996",0.763
"Sep 7, 1996",
"Sep 16, 1996",
"Sep 23, 1996",0.751
"Oct 2, 1996",0.832
"Oct 2, 1996",0.836
"Oct 18, 1996",0.871
"Oct 18, 1996",0.88
"Oct 25, 1996",
"Nov 3, 1996",0.722
"Nov 3, 1996",0.741
"Nov 10, 1996",0.872
"Nov 26, 1996",0.864
"Dec 21, 1996",0.846
"Feb 14, 1997",0.796
"May 30, 1997",0.792
"Jun 22, 1997",0.864
"Jul 8, 1997",0.728
"Jul 17, 1997",0.795
"Jul 24, 1997",0.808
"Aug 9, 1997",0.853
"Aug 18, 1997",0.806
"Aug 18, 1997",0.807
"Aug 25, 1997",0.779
"Sep 3, 1997",0.769
"Sep 3, 1997",0.762
"Sep 10, 1997",0.691
"Sep 19, 1997",0.818
"Oct 5, 1997",0.808
"Oct 5, 1997",0.803
"Oct 12, 1997",0.818
"Oct 21, 1997",
"Oct 21, 1997",
"Nov 6, 1997",
"Nov 6, 1997",
"Jan 9, 1998",
"Feb 1, 1998",
"Feb 26, 1998",
"Feb 26, 1998",
"May 8, 1998",0.865
"May 17, 1998",0.825
"May 24, 1998",
"Jun 2, 1998",
"Jun 9, 1998",0.775
"Jun 18, 1998",0.836
"Jun 18, 1998",0.824
"Jul 4, 1998",0.838
"Jul 4, 1998",0.835
"Jul 20, 1998",
"Jul 20, 1998",
"Jul 27, 1998",
"Aug 5, 1998",
"Aug 5, 1998",
"Aug 12, 1998",0.792
"Aug 21, 1998",
"Aug 21, 1998",0.742
"Aug 28, 1998",0.765
"Sep 6, 1998",0.785
"Sep 6, 1998",0.809
"Sep 13, 1998",0.821
"Sep 22, 1998",0.831
"Sep 22, 1998",0.833
"Sep 29, 1998",
"Oct 24, 1998",
"Nov 9, 1998",0.717
"Dec 18, 1998",
"Mar 1, 1999",
"Mar 8, 1999",
"Mar 24, 1999",0.82
"Jun 21, 1999",0.841
"Jun 21, 1999",0.835
"Jul 7, 1999",0.858
"Jul 7, 1999",0.838
"Jul 23, 1999",
"Jul 23, 1999",
"Jul 30, 1999",0.799
"Aug 8, 1999",
