system:time_start,NDVI for pixel Lon:-110.55 Lat:31.33
"Mar 26, 2013",0.178
"Mar 31, 2013",0.176
"Apr 17, 2013",0.187
"May 3, 2013",0.162
"May 19, 2013",0.163
"May 26, 2013",0.146
"Jun 4, 2013",0.165
"Jun 11, 2013",0.158
"Jun 20, 2013",0.148
"Jun 27, 2013",0.155
"Jul 6, 2013",0.171
"Jul 13, 2013",0.234
"Jul 22, 2013",0.361
"Jul 29, 2013",0.49
"Aug 7, 2013",0.579
"Aug 14, 2013",0.461
"Aug 23, 2013",0.441
"Aug 30, 2013",
"Sep 8, 2013",
"Sep 15, 2013",0.457
"Sep 24, 2013",0.371
"Oct 1, 2013",0.335
"Oct 10, 2013",0.278
"Oct 17, 2013",0.252
"Oct 26, 2013",0.223
"Nov 2, 2013",0.223
"Nov 11, 2013",0.215
"Nov 18, 2013",0.212
"Nov 27, 2013",
"Dec 4, 2013",
"Dec 13, 2013",0.173
"Dec 20, 2013",
"Dec 29, 2013",0.153
"Jan 5, 2014",
"Jan 14, 2014",0.152
"Jan 21, 2014",
"Jan 30, 2014",0.136
"Feb 6, 2014",0.163
"Feb 15, 2014",0.148
"Feb 22, 2014",0.147
"Mar 3, 2014",0.146
"Mar 10, 2014",0.152
"Mar 19, 2014",0.162
"Mar 26, 2014",0.171
"Apr 4, 2014",0.173
"Apr 11, 2014",0.171
"Apr 20, 2014",0.172
"Apr 27, 2014",0.162
"May 6, 2014",0.149
"May 13, 2014",0.152
"May 22, 2014",0.144
"May 29, 2014",
"Jun 7, 2014",0.144
"Jun 14, 2014",0.153
"Jun 23, 2014",0.141
"Jun 30, 2014",0.145
"Jul 9, 2014",
"Jul 16, 2014",
"Jul 25, 2014",0.35
"Aug 1, 2014",
"Aug 10, 2014",
"Aug 17, 2014",
"Aug 26, 2014",0.565
"Sep 2, 2014",0.515
"Sep 11, 2014",0.495
"Sep 18, 2014",
"Sep 27, 2014",0.471
"Oct 4, 2014",0.437
"Oct 13, 2014",0.365
"Oct 20, 2014",0.374
"Oct 29, 2014",0.345
"Nov 5, 2014",0.337
"Nov 14, 2014",0.298
"Nov 21, 2014",
"Nov 30, 2014",0.263
"Dec 7, 2014",0.275
"Dec 16, 2014",
"Dec 23, 2014",0.247
"Jan 1, 2015",0.238
"Jan 17, 2015",0.198
"Jan 24, 2015",0.203
"Feb 9, 2015",0.204
"Feb 18, 2015",0.204
"Feb 25, 2015",0.161
"Mar 6, 2015",0.214
"Mar 13, 2015",0.217
"Mar 22, 2015",0.261
"Mar 29, 2015",
"Apr 7, 2015",0.312
"Apr 14, 2015",0.318
"Apr 23, 2015",0.316
"Apr 30, 2015",0.316
"May 9, 2015",0.272
"May 16, 2015",0.267
"May 25, 2015",0.234
"Jun 1, 2015",0.23
"Jun 10, 2015",0.238
"Jun 17, 2015",0.238
"Jun 26, 2015",0.226
"Jul 3, 2015",0.288
"Jul 12, 2015",0.234
"Jul 19, 2015",0.34
