date,ndvi
04/17/13,
05/03/13,0.198
05/19/13,0.229
06/04/13,0.281
06/20/13,0.313
07/06/13,
07/22/13,
08/07/13,0.41
08/23/13,0.399
09/08/13,
09/24/13,0.36
10/10/13,
10/26/13,0.264
11/11/13,0.26
11/27/13,
12/13/13,-0.006
12/29/13,-0.012
01/14/14,-0.128
01/30/14,
02/15/14,0.205
03/03/14,
03/19/14,0.015
04/04/14,
04/20/14,
05/06/14,0.205
05/22/14,
06/07/14,0.272
06/23/14,0.299
07/09/14,
07/25/14,
08/10/14,0.422
08/26/14,
09/11/14,0.388
09/27/14,
10/13/14,0.301
10/29/14,0.267
11/14/14,0.231
11/30/14,0.251
12/16/14,
01/01/15,0.015
01/17/15,-0.019
02/18/15,-0.081
03/06/15,-0.016
03/22/15,-0.052
04/07/15,0.199
04/23/15,
05/09/15,0.216
05/25/15,0.251
06/10/15,0.304
06/26/15,0.368
07/12/15,
07/28/15,
08/13/15,0.442
08/29/15,0.546
09/14/15,0.422
09/30/15,0.364
10/16/15,
11/01/15,
11/17/15,0.002
12/03/15,0.23
12/19/15,
01/04/16,
01/20/16,-0.022
02/05/16,-0.014
03/08/16,
03/24/16,0.203
04/09/16,0.208
04/25/16,0.208
05/11/16,0.22
05/27/16,0.251
06/12/16,0.321
06/28/16,
07/14/16,0.379
07/30/16,0.299
08/15/16,0.422
08/31/16,
09/16/16,0.363
10/02/16,
10/18/16,0.268
11/03/16,
11/19/16,0.245
12/05/16,-0.003
12/21/16,
01/06/17,-0.02
01/22/17,-0.014
02/07/17,-0.044
02/23/17,-0.042
03/11/17,-0.052
03/27/17,0.196
04/12/17,0.186
04/28/17,
05/14/17,
05/30/17,0.267
06/15/17,0.295
07/01/17,0.255
07/17/17,
08/02/17,
08/18/17,0.307
09/03/17,
09/19/17,
10/05/17,0.294
10/21/17,0.262
11/06/17,
11/22/17,0.255
12/08/17,0.13
12/24/17,0.016
01/09/18,
01/25/18,0.174
02/10/18,0.197
02/26/18,-0.026
03/14/18,
03/30/18,0.179
04/15/18,0.187
