date,ndvi
"Apr 17, 2013",
"May 3, 2013",0.203
"May 19, 2013",0.221
"Jun 4, 2013",0.261
"Jun 20, 2013",0.277
"Jul 6, 2013",
"Jul 22, 2013",
"Aug 7, 2013",
"Aug 23, 2013",
"Sep 8, 2013",0.393
"Sep 24, 2013",0.38
"Oct 10, 2013",
"Oct 26, 2013",0.288
"Nov 11, 2013",0.283
"Nov 27, 2013",
"Dec 13, 2013",0.287
"Dec 29, 2013",0.213
"Jan 14, 2014",0.242
"Jan 30, 2014",
"Feb 15, 2014",0.228
"Mar 3, 2014",
"Mar 19, 2014",0.226
"Apr 4, 2014",0.228
"Apr 20, 2014",
"May 6, 2014",0.236
"May 22, 2014",0.244
"Jun 7, 2014",0.305
"Jun 23, 2014",0.32
"Jul 9, 2014",
"Jul 25, 2014",0.297
"Aug 10, 2014",
"Aug 26, 2014",0.4
"Sep 11, 2014",
"Sep 27, 2014",
"Oct 13, 2014",0.316
"Oct 29, 2014",0.282
"Nov 14, 2014",0.267
"Nov 30, 2014",0.216
"Dec 16, 2014",
"Jan 1, 2015",
"Jan 17, 2015",0.237
"Feb 18, 2015",0.226
"Mar 6, 2015",0.193
"Mar 22, 2015",0.231
"Apr 7, 2015",0.218
"Apr 23, 2015",
"May 9, 2015",0.226
"May 25, 2015",0.247
"Jun 10, 2015",0.346
"Jun 26, 2015",0.361
"Jul 12, 2015",
"Jul 28, 2015",0.426
"Aug 13, 2015",0.464
"Aug 29, 2015",
"Sep 14, 2015",0.385
"Sep 30, 2015",0.347
"Oct 16, 2015",
"Nov 1, 2015",0.303
"Nov 17, 2015",0.013
"Dec 3, 2015",0.256
"Dec 19, 2015",
"Jan 4, 2016",
"Jan 20, 2016",-0.04
"Feb 5, 2016",-0.008
"Mar 8, 2016",
"Mar 24, 2016",0.234
"Apr 9, 2016",0.245
"Apr 25, 2016",0.236
"May 11, 2016",0.251
"May 27, 2016",0.304
"Jun 12, 2016",0.36
"Jun 28, 2016",
"Jul 14, 2016",0.355
"Jul 30, 2016",0.367
"Aug 15, 2016",0.432
"Aug 31, 2016",
"Sep 16, 2016",0.379
"Oct 2, 2016",
"Oct 18, 2016",0.304
"Nov 3, 2016",
"Nov 19, 2016",0.261
"Dec 5, 2016",
"Jan 6, 2017",
"Jan 22, 2017",0.003
"Feb 7, 2017",
"Feb 23, 2017",0.229
"Mar 11, 2017",
"Mar 27, 2017",0.227
"Apr 12, 2017",0.224
"Apr 28, 2017",0.215
"May 14, 2017",
"May 30, 2017",
"Jun 15, 2017",0.284
"Jul 1, 2017",0.305
"Jul 17, 2017",
"Aug 2, 2017",
"Aug 18, 2017",0.339
"Sep 3, 2017",0.335
"Sep 19, 2017",0.34
"Oct 5, 2017",
"Oct 21, 2017",0.283
"Nov 6, 2017",0.266
"Nov 22, 2017",0.248
"Dec 8, 2017",
"Dec 24, 2017",0.219
"Jan 9, 2018",
"Jan 25, 2018",0.228
"Feb 10, 2018",0.193
"Feb 26, 2018",0.217
"Mar 30, 2018",0.215
"Apr 15, 2018",0.208
