date,bi
"Jan 1, 2006",80.268
"Jan 2, 2006",71.341
"Jan 3, 2006",58.234
"Jan 4, 2006",56.452
"Jan 5, 2006",89.524
"Jan 6, 2006",81.637
"Jan 7, 2006",72.521
"Jan 8, 2006",74.153
"Jan 9, 2006",68.335
"Jan 10, 2006",71.752
"Jan 11, 2006",61.683
"Jan 12, 2006",75.051
"Jan 13, 2006",79.198
"Jan 14, 2006",80.479
"Jan 15, 2006",91.325
"Jan 16, 2006",80.383
"Jan 17, 2006",49.893
"Jan 18, 2006",66.74
"Jan 19, 2006",107.58
"Jan 20, 2006",59.102
"Jan 21, 2006",64.238
"Jan 22, 2006",62.729
"Jan 23, 2006",87.424
"Jan 24, 2006",87.728
"Jan 25, 2006",-0
"Jan 26, 2006",48.713
"Jan 27, 2006",79.209
"Jan 28, 2006",66.961
"Jan 29, 2006",65.196
"Jan 30, 2006",47.98
"Jan 31, 2006",81.078
"Feb 1, 2006",71.908
"Feb 2, 2006",75.434
"Feb 3, 2006",59.441
"Feb 4, 2006",62.442
"Feb 5, 2006",85.023
"Feb 6, 2006",82.401
"Feb 7, 2006",86.011
"Feb 8, 2006",78.946
"Feb 9, 2006",-0
"Feb 10, 2006",74.131
"Feb 11, 2006",66.734
"Feb 12, 2006",76.923
"Feb 13, 2006",73.756
"Feb 14, 2006",96.23
"Feb 15, 2006",126.646
"Feb 16, 2006",91.44
"Feb 17, 2006",-0
"Feb 18, 2006",77.011
"Feb 19, 2006",72.209
"Feb 20, 2006",63.739
"Feb 21, 2006",72.121
"Feb 22, 2006",51.44
"Feb 23, 2006",54.889
"Feb 24, 2006",57.815
"Feb 25, 2006",53.326
"Feb 26, 2006",76.198
"Feb 27, 2006",71.1
"Feb 28, 2006",78.708
"Mar 1, 2006",60.709
"Mar 2, 2006",59.942
"Mar 3, 2006",83.493
"Mar 4, 2006",83.832
"Mar 5, 2006",73.947
"Mar 6, 2006",78.727
"Mar 7, 2006",-0
"Mar 8, 2006",87.027
"Mar 9, 2006",82.737
"Mar 10, 2006",104.27
"Mar 11, 2006",108.333
"Mar 12, 2006",-0
"Mar 13, 2006",41.111
"Mar 14, 2006",62.017
"Mar 15, 2006",71.574
"Mar 16, 2006",63.778
"Mar 17, 2006",76.51
"Mar 18, 2006",90.706
"Mar 19, 2006",-0
"Mar 20, 2006",-0
"Mar 21, 2006",69.162
"Mar 22, 2006",-0
"Mar 23, 2006",73.52
"Mar 24, 2006",65.973
