date,bi
"Mar 25, 2006",68.721
"Mar 26, 2006",77.35
"Mar 27, 2006",74.339
"Mar 28, 2006",66.723
"Mar 29, 2006",94.273
"Mar 30, 2006",72.067
"Mar 31, 2006",73.884
"Apr 1, 2006",69.266
"Apr 2, 2006",54.24
"Apr 3, 2006",67.087
"Apr 4, 2006",72.527
"Apr 5, 2006",-0
"Apr 6, 2006",75.894
"Apr 7, 2006",63.849
"Apr 8, 2006",55.847
"Apr 9, 2006",76.162
"Apr 10, 2006",92.822
"Apr 11, 2006",76.047
"Apr 12, 2006",60.747
"Apr 13, 2006",63.671
"Apr 14, 2006",101.035
"Apr 15, 2006",79.25
"Apr 16, 2006",65.68
"Apr 17, 2006",79.003
"Apr 18, 2006",72.77
"Apr 19, 2006",78.694
"Apr 20, 2006",79.357
"Apr 21, 2006",78.96
"Apr 22, 2006",101.815
"Apr 23, 2006",108.294
"Apr 24, 2006",83.077
"Apr 25, 2006",78.847
"Apr 26, 2006",93.942
"Apr 27, 2006",104.963
"Apr 28, 2006",79.879
"Apr 29, 2006",77.596
"Apr 30, 2006",70.367
"May 1, 2006",66.748
"May 2, 2006",74.229
"May 3, 2006",92.124
"May 4, 2006",98.631
"May 5, 2006",100.473
"May 6, 2006",71.829
"May 7, 2006",75.965
"May 8, 2006",85.193
"May 9, 2006",88.732
"May 10, 2006",68.579
"May 11, 2006",73.293
"May 12, 2006",80.358
"May 13, 2006",86.419
"May 14, 2006",83.482
"May 15, 2006",77.164
"May 16, 2006",-0
"May 17, 2006",-0
"May 18, 2006",72.455
"May 19, 2006",88.721
"May 20, 2006",75.527
"May 21, 2006",81.861
"May 22, 2006",107.626
"May 23, 2006",68.141
"May 24, 2006",70.249
"May 25, 2006",91.648
"May 26, 2006",102.819
"May 27, 2006",117.139
"May 28, 2006",104.366
"May 29, 2006",80.534
"May 30, 2006",70.679
"May 31, 2006",73.728
"Jun 1, 2006",-0
"Jun 2, 2006",69.151
"Jun 3, 2006",57.512
"Jun 4, 2006",62.803
"Jun 5, 2006",92.91
"Jun 6, 2006",-0
"Jun 7, 2006",-0
"Jun 8, 2006",-0
"Jun 9, 2006",-0
"Jun 10, 2006",76.51
"Jun 11, 2006",81.081
"Jun 12, 2006",69.488
"Jun 13, 2006",70.528
"Jun 14, 2006",80.963
"Jun 15, 2006",117.15
"Jun 16, 2006",95.661
"Jun 17, 2006",75.248
"Jun 18, 2006",72.518
"Jun 19, 2006",87.974
"Jun 20, 2006",86.887
"Jun 21, 2006",-0
"Jun 22, 2006",70.854
"Jun 23, 2006",56.767
"Jun 24, 2006",78.741
"Jun 25, 2006",-0
"Jun 26, 2006",-0
"Jun 27, 2006",-0
"Jun 28, 2006",59.554
"Jun 29, 2006",53.586
"Jun 30, 2006",-0
"Jul 1, 2006",47.84
"Jul 2, 2006",-0
"Jul 3, 2006",-0
"Jul 4, 2006",-0
"Jul 5, 2006",-0
"Jul 6, 2006",-0
"Jul 7, 2006",-0
"Jul 8, 2006",30.233
"Jul 9, 2006",39.817
"Jul 10, 2006",42.006
"Jul 11, 2006",44.081
"Jul 12, 2006",42.327
"Jul 13, 2006",-0
"Jul 14, 2006",-0
"Jul 15, 2006",60.126
"Jul 16, 2006",53.241
"Jul 17, 2006",43.017
"Jul 18, 2006",-0
"Jul 19, 2006",-0
"Jul 20, 2006",41.834
"Jul 21, 2006",52.932
"Jul 22, 2006",57.074
"Jul 23, 2006",-0
"Jul 24, 2006",38.327
"Jul 25, 2006",-0
"Jul 26, 2006",-0
"Jul 27, 2006",-0
"Jul 28, 2006",-0
"Jul 29, 2006",-0
"Jul 30, 2006",-0
"Jul 31, 2006",-0
"Aug 1, 2006",-0
"Aug 2, 2006",-0
"Aug 3, 2006",-0
"Aug 4, 2006",-0
"Aug 5, 2006",15.064
"Aug 6, 2006",-0
"Aug 7, 2006",-0
"Aug 8, 2006",-0
"Aug 9, 2006",-0
"Aug 10, 2006",17.397
"Aug 11, 2006",-0
"Aug 12, 2006",17.254
"Aug 13, 2006",-0
"Aug 14, 2006",18.552
"Aug 15, 2006",-0
"Aug 16, 2006",-0
"Aug 17, 2006",-0
"Aug 18, 2006",-0
"Aug 19, 2006",-0
"Aug 20, 2006",-0
"Aug 21, 2006",-0
"Aug 22, 2006",-0
"Aug 23, 2006",-0
"Aug 24, 2006",-0
"Aug 25, 2006",15.157
"Aug 26, 2006",16.272
"Aug 27, 2006",16.937
"Aug 28, 2006",15.166
"Aug 29, 2006",19.321
"Aug 30, 2006",-0
"Aug 31, 2006",16.43
"Sep 1, 2006",-0
"Sep 2, 2006",21.382
"Sep 3, 2006",-0
"Sep 4, 2006",-0
"Sep 5, 2006",-0
"Sep 6, 2006",13.624
"Sep 7, 2006",-0
"Sep 8, 2006",-0
"Sep 9, 2006",14.985
"Sep 10, 2006",14.114
"Sep 11, 2006",-0
"Sep 12, 2006",-0
"Sep 13, 2006",-0
"Sep 14, 2006",17.498
"Sep 15, 2006",22.726
"Sep 16, 2006",22.584
"Sep 17, 2006",21.475
"Sep 18, 2006",16.318
"Sep 19, 2006",20.504
"Sep 20, 2006",29.814
"Sep 21, 2006",32.187
"Sep 22, 2006",37.284
"Sep 23, 2006",26.463
"Sep 24, 2006",18.286
"Sep 25, 2006",22.089
"Sep 26, 2006",20.933
"Sep 27, 2006",29.51
"Sep 28, 2006",25.486
"Sep 29, 2006",25.694
"Sep 30, 2006",28.223
"Oct 1, 2006",33.312
"Oct 2, 2006",33.92
"Oct 3, 2006",29.614
"Oct 4, 2006",32.351
"Oct 5, 2006",44.993
"Oct 6, 2006",-0
"Oct 7, 2006",-0
"Oct 8, 2006",-0
"Oct 9, 2006",-0
"Oct 10, 2006",24.826
"Oct 11, 2006",25.322
"Oct 12, 2006",25.494
"Oct 13, 2006",29.792
"Oct 14, 2006",-0
"Oct 15, 2006",28.357
"Oct 16, 2006",32.392
"Oct 17, 2006",45.261
"Oct 18, 2006",-0
"Oct 19, 2006",25.267
"Oct 20, 2006",27.575
"Oct 21, 2006",30.003
"Oct 22, 2006",27.755
"Oct 23, 2006",-0
"Oct 24, 2006",-0
"Oct 25, 2006",31.87
"Oct 26, 2006",37.454
"Oct 27, 2006",33.457
"Oct 28, 2006",34.123
"Oct 29, 2006",32.475
"Oct 30, 2006",38.467
"Oct 31, 2006",35.037
"Nov 1, 2006",29.767
"Nov 2, 2006",36.217
"Nov 3, 2006",34.454
"Nov 4, 2006",41.245
"Nov 5, 2006",35.984
"Nov 6, 2006",40.088
"Nov 7, 2006",36.408
"Nov 8, 2006",52.064
"Nov 9, 2006",58.067
"Nov 10, 2006",39.803
"Nov 11, 2006",54.569
"Nov 12, 2006",61.237
"Nov 13, 2006",48.795
"Nov 14, 2006",63.747
"Nov 15, 2006",49.63
"Nov 16, 2006",45.584
"Nov 17, 2006",45.932
"Nov 18, 2006",41.834
"Nov 19, 2006",65.034
"Nov 20, 2006",66.228
"Nov 21, 2006",42.056
"Nov 22, 2006",44.054
"Nov 23, 2006",46.901
"Nov 24, 2006",55.283
"Nov 25, 2006",60.63
"Nov 26, 2006",-0
"Nov 27, 2006",-0
"Nov 28, 2006",57.429
"Nov 29, 2006",-0
"Nov 30, 2006",49.08
"Dec 1, 2006",43.301
"Dec 2, 2006",47.78
"Dec 3, 2006",79.918
"Dec 4, 2006",68.064
"Dec 5, 2006",41.385
"Dec 6, 2006",48.768
"Dec 7, 2006",86.121
"Dec 8, 2006",79.901
"Dec 9, 2006",43.159
"Dec 10, 2006",64.96
"Dec 11, 2006",55.833
"Dec 12, 2006",46.589
"Dec 13, 2006",47.982
"Dec 14, 2006",45.557
"Dec 15, 2006",50.016
"Dec 16, 2006",83.821
"Dec 17, 2006",81.267
"Dec 18, 2006",60.772
"Dec 19, 2006",-0
"Dec 20, 2006",64.331
"Dec 21, 2006",44.188
"Dec 22, 2006",47.621
"Dec 23, 2006",50.296
"Dec 24, 2006",49.247
"Dec 25, 2006",52.149
"Dec 26, 2006",44.782
"Dec 27, 2006",87.049
"Dec 28, 2006",-0
"Dec 29, 2006",-0
"Dec 30, 2006",-0
"Dec 31, 2006",31.347
"Jan 1, 2007",42.506
"Jan 2, 2007",57.977
"Jan 3, 2007",35.269
"Jan 4, 2007",50.456
"Jan 5, 2007",-0
"Jan 6, 2007",37.519
"Jan 7, 2007",44.881
"Jan 8, 2007",49.841
"Jan 9, 2007",60.688
"Jan 10, 2007",-0
"Jan 11, 2007",-0
"Jan 12, 2007",-0
"Jan 13, 2007",54.309
"Jan 14, 2007",44.809
"Jan 15, 2007",38.519
"Jan 16, 2007",64.385
"Jan 17, 2007",40.233
"Jan 18, 2007",-0
"Jan 19, 2007",-0
"Jan 20, 2007",-0
"Jan 21, 2007",-0
"Jan 22, 2007",-0
"Jan 23, 2007",-0
"Jan 24, 2007",36.235
"Jan 25, 2007",41.836
"Jan 26, 2007",29.488
"Jan 27, 2007",30.619
"Jan 28, 2007",29.497
"Jan 29, 2007",35.529
"Jan 30, 2007",-0
"Jan 31, 2007",-0
"Feb 1, 2007",-0
"Feb 2, 2007",34.239
"Feb 3, 2007",29.477
"Feb 4, 2007",34.35
"Feb 5, 2007",40.227
"Feb 6, 2007",36.813
"Feb 7, 2007",44.075
"Feb 8, 2007",43.759
"Feb 9, 2007",39.589
"Feb 10, 2007",34.333
"Feb 11, 2007",-0
"Feb 12, 2007",42.514
"Feb 13, 2007",-0
"Feb 14, 2007",-0
"Feb 15, 2007",37.55
"Feb 16, 2007",33.028
"Feb 17, 2007",49.471
"Feb 18, 2007",53.489
"Feb 19, 2007",-0
"Feb 20, 2007",-0
"Feb 21, 2007",26.866
"Feb 22, 2007",42.141
"Feb 23, 2007",-0
"Feb 24, 2007",49.041
"Feb 25, 2007",42.152
"Feb 26, 2007",53.655
"Feb 27, 2007",53.447
"Feb 28, 2007",80.398
"Mar 1, 2007",50.926
"Mar 2, 2007",60.389
"Mar 3, 2007",62.226
"Mar 4, 2007",78.376
"Mar 5, 2007",70.177
"Mar 6, 2007",49.952
"Mar 7, 2007",50.38
"Mar 8, 2007",65.128
"Mar 9, 2007",50.38
"Mar 10, 2007",62.041
"Mar 11, 2007",71.746
"Mar 12, 2007",59.683
"Mar 13, 2007",87.175
"Mar 14, 2007",75.42
"Mar 15, 2007",62.172
"Mar 16, 2007",77.231
"Mar 17, 2007",72.564
"Mar 18, 2007",89.556
"Mar 19, 2007",83.345
"Mar 20, 2007",84.558
"Mar 21, 2007",-0
"Mar 22, 2007",-0
"Mar 23, 2007",-0
"Mar 24, 2007",34.424
"Mar 25, 2007",39.749
"Mar 26, 2007",55.4
"Mar 27, 2007",79.293
"Mar 28, 2007",80.426
"Mar 29, 2007",51.442
"Mar 30, 2007",70.909
"Mar 31, 2007",52.98
"Apr 1, 2007",52.786
"Apr 2, 2007",71.638
"Apr 3, 2007",66.86
"Apr 4, 2007",60.33
"Apr 5, 2007",67.529
"Apr 6, 2007",80.284
"Apr 7, 2007",71.755
"Apr 8, 2007",87.585
"Apr 9, 2007",80.039
"Apr 10, 2007",81.118
"Apr 11, 2007",73.176
"Apr 12, 2007",96.932
"Apr 13, 2007",-0
"Apr 14, 2007",42.266
"Apr 15, 2007",80.814
"Apr 16, 2007",81.118
"Apr 17, 2007",64.473
"Apr 18, 2007",61.13
"Apr 19, 2007",74.118
"Apr 20, 2007",87.702
"Apr 21, 2007",75.181
"Apr 22, 2007",67.768
"Apr 23, 2007",92.936
"Apr 24, 2007",72.116
"Apr 25, 2007",54.295
"Apr 26, 2007",62.129
"Apr 27, 2007",51.801
"Apr 28, 2007",-0
"Apr 29, 2007",-0
"Apr 30, 2007",56.764
"May 1, 2007",60.74
"May 2, 2007",60.449
"May 3, 2007",70.513
"May 4, 2007",95.961
"May 5, 2007",103.328
"May 6, 2007",59.376
"May 7, 2007",65.797
"May 8, 2007",-0
"May 9, 2007",56.744
"May 10, 2007",56.955
"May 11, 2007",59.336
"May 12, 2007",76.172
"May 13, 2007",70.075
"May 14, 2007",71.242
"May 15, 2007",64.88
"May 16, 2007",-0
"May 17, 2007",-0
"May 18, 2007",-0
"May 19, 2007",56.3
"May 20, 2007",62.941
"May 21, 2007",83.052
"May 22, 2007",88.434
"May 23, 2007",75.887
"May 24, 2007",60.788
"May 25, 2007",58.536
"May 26, 2007",65.268
"May 27, 2007",68.212
"May 28, 2007",73.646
"May 29, 2007",82.591
"May 30, 2007",67.893
"May 31, 2007",74.699
"Jun 1, 2007",76.539
"Jun 2, 2007",77.803
"Jun 3, 2007",71.906
"Jun 4, 2007",78.339
"Jun 5, 2007",90.22
"Jun 6, 2007",137.914
"Jun 7, 2007",98.652
"Jun 8, 2007",74.238
"Jun 9, 2007",80.859
"Jun 10, 2007",72.139
"Jun 11, 2007",-0
"Jun 12, 2007",42.705
"Jun 13, 2007",50.818
"Jun 14, 2007",61.067
"Jun 15, 2007",79.785
"Jun 16, 2007",82.961
"Jun 17, 2007",83.174
"Jun 18, 2007",87.406
"Jun 19, 2007",75.522
"Jun 20, 2007",81.719
"Jun 21, 2007",66.851
"Jun 22, 2007",80.774
"Jun 23, 2007",90.171
"Jun 24, 2007",92.854
"Jun 25, 2007",88.383
"Jun 26, 2007",81.745
"Jun 27, 2007",74.113
"Jun 28, 2007",-0
"Jun 29, 2007",-0
"Jun 30, 2007",86.495
"Jul 1, 2007",91.638
"Jul 2, 2007",91.931
"Jul 3, 2007",100.756
"Jul 4, 2007",74.452
"Jul 5, 2007",72.689
"Jul 6, 2007",82.75
"Jul 7, 2007",-0
"Jul 8, 2007",-0
"Jul 9, 2007",88.118
"Jul 10, 2007",-0
"Jul 11, 2007",-0
"Jul 12, 2007",-0
"Jul 13, 2007",-0
"Jul 14, 2007",-0
"Jul 15, 2007",-0
"Jul 16, 2007",-0
"Jul 17, 2007",41.976
"Jul 18, 2007",44.109
"Jul 19, 2007",46.555
"Jul 20, 2007",-0
"Jul 21, 2007",-0
"Jul 22, 2007",-0
"Jul 23, 2007",35.272
"Jul 24, 2007",-0
"Jul 25, 2007",-0
"Jul 26, 2007",39.649
"Jul 27, 2007",-0
"Jul 28, 2007",-0
"Jul 29, 2007",-0
"Jul 30, 2007",-0
"Jul 31, 2007",-0
"Aug 1, 2007",-0
"Aug 2, 2007",-0
"Aug 3, 2007",-0
"Aug 4, 2007",-0
"Aug 5, 2007",-0
"Aug 6, 2007",-0
"Aug 7, 2007",-0
"Aug 8, 2007",17.075
"Aug 9, 2007",-0
"Aug 10, 2007",-0
"Aug 11, 2007",16.75
"Aug 12, 2007",20.806
"Aug 13, 2007",23.218
"Aug 14, 2007",20.586
"Aug 15, 2007",22.642
"Aug 16, 2007",-0
"Aug 17, 2007",25.724
"Aug 18, 2007",-0
"Aug 19, 2007",32.749
"Aug 20, 2007",-0
"Aug 21, 2007",31.744
"Aug 22, 2007",-0
"Aug 23, 2007",-0
"Aug 24, 2007",-0
"Aug 25, 2007",-0
"Aug 26, 2007",-0
"Aug 27, 2007",-0
"Aug 28, 2007",18.55
"Aug 29, 2007",27.478
"Aug 30, 2007",32.265
"Aug 31, 2007",27.113
"Sep 1, 2007",-0
"Sep 2, 2007",33.931
"Sep 3, 2007",32.772
"Sep 4, 2007",24.323
"Sep 5, 2007",31.223
"Sep 6, 2007",-0
"Sep 7, 2007",-0
"Sep 8, 2007",25.906
"Sep 9, 2007",-0
"Sep 10, 2007",20.732
"Sep 11, 2007",-0
"Sep 12, 2007",22.993
"Sep 13, 2007",29.181
"Sep 14, 2007",23.833
"Sep 15, 2007",27.899
"Sep 16, 2007",-0
"Sep 17, 2007",42.56
"Sep 18, 2007",31.997
"Sep 19, 2007",32.874
"Sep 20, 2007",31.849
"Sep 21, 2007",27.222
"Sep 22, 2007",29.426
"Sep 23, 2007",-0
"Sep 24, 2007",30.297
"Sep 25, 2007",22.879
"Sep 26, 2007",26.589
"Sep 27, 2007",28.13
"Sep 28, 2007",37.049
"Sep 29, 2007",41.702
"Sep 30, 2007",25.456
"Oct 1, 2007",-0
"Oct 2, 2007",28.828
"Oct 3, 2007",-0
"Oct 4, 2007",31.906
"Oct 5, 2007",40.039
"Oct 6, 2007",38.183
"Oct 7, 2007",26.57
"Oct 8, 2007",39.903
"Oct 9, 2007",-0
"Oct 10, 2007",-0
"Oct 11, 2007",34.424
"Oct 12, 2007",49.178
"Oct 13, 2007",56.932
"Oct 14, 2007",37.827
"Oct 15, 2007",33.245
"Oct 16, 2007",54.238
"Oct 17, 2007",53.862
"Oct 18, 2007",39.888
"Oct 19, 2007",34.532
"Oct 20, 2007",50.659
"Oct 21, 2007",61.147
"Oct 22, 2007",65.911
"Oct 23, 2007",57.644
"Oct 24, 2007",64.86
"Oct 25, 2007",43.844
"Oct 26, 2007",51.214
"Oct 27, 2007",44.644
"Oct 28, 2007",60.839
"Oct 29, 2007",61.677
"Oct 30, 2007",53.589
"Oct 31, 2007",49.232
"Nov 1, 2007",49.3
"Nov 2, 2007",48.736
"Nov 3, 2007",54.89
"Nov 4, 2007",49.414
"Nov 5, 2007",47.518
"Nov 6, 2007",72.996
"Nov 7, 2007",57.012
"Nov 8, 2007",42.665
"Nov 9, 2007",54.392
"Nov 10, 2007",61.338
"Nov 11, 2007",61.705
"Nov 12, 2007",59.085
"Nov 13, 2007",48.682
"Nov 14, 2007",48.705
"Nov 15, 2007",82.391
"Nov 16, 2007",50.183
"Nov 17, 2007",58.097
"Nov 18, 2007",48.819
"Nov 19, 2007",51.855
"Nov 20, 2007",-0
"Nov 21, 2007",-0
"Nov 22, 2007",55.694
"Nov 23, 2007",72.33
"Nov 24, 2007",59.341
"Nov 25, 2007",46.74
"Nov 26, 2007",44.137
"Nov 27, 2007",-0
"Nov 28, 2007",-0
"Nov 29, 2007",34.768
"Nov 30, 2007",45.422
"Dec 1, 2007",72.37
"Dec 2, 2007",37.827
"Dec 3, 2007",-0
"Dec 4, 2007",-0
"Dec 5, 2007",35.341
"Dec 6, 2007",-0
"Dec 7, 2007",63.465
"Dec 8, 2007",57.96
"Dec 9, 2007",34.105
"Dec 10, 2007",40.27
"Dec 11, 2007",44.701
"Dec 12, 2007",-0
"Dec 13, 2007",-0
"Dec 14, 2007",-0
"Dec 15, 2007",-0
"Dec 16, 2007",31.234
"Dec 17, 2007",30.75
"Dec 18, 2007",33.683
"Dec 19, 2007",38.772
"Dec 20, 2007",32.909
"Dec 21, 2007",55.417
"Dec 22, 2007",40.612
"Dec 23, 2007",37.126
"Dec 24, 2007",40.094
"Dec 25, 2007",-0
"Dec 26, 2007",38.559
"Dec 27, 2007",67.122
"Dec 28, 2007",32.45
"Dec 29, 2007",43.274
"Dec 30, 2007",35.483
"Dec 31, 2007",38.863
"Jan 1, 2008",71.659
"Jan 2, 2008",64.767
"Jan 3, 2008",41.893
"Jan 4, 2008",0
"Jan 5, 2008",57.678
"Jan 6, 2008",0
"Jan 7, 2008",61.789
"Jan 8, 2008",26.471
"Jan 9, 2008",0
"Jan 10, 2008",31.93
"Jan 11, 2008",34.99
"Jan 12, 2008",37.557
"Jan 13, 2008",42.437
"Jan 14, 2008",63.248
"Jan 15, 2008",44.259
"Jan 16, 2008",44.677
"Jan 17, 2008",40.599
"Jan 18, 2008",32.858
"Jan 19, 2008",46.772
"Jan 20, 2008",41.004
"Jan 21, 2008",49.931
"Jan 22, 2008",38.692
"Jan 23, 2008",43.115
"Jan 24, 2008",50.406
"Jan 25, 2008",36.338
"Jan 26, 2008",33.738
"Jan 27, 2008",0
"Jan 28, 2008",0
"Jan 29, 2008",36.335
"Jan 30, 2008",47.661
"Jan 31, 2008",36.047
"Feb 1, 2008",40.542
"Feb 2, 2008",51.814
"Feb 3, 2008",62.738
"Feb 4, 2008",59.942
"Feb 5, 2008",42.145
"Feb 6, 2008",32.561
"Feb 7, 2008",33.426
"Feb 8, 2008",37.296
"Feb 9, 2008",39.476
"Feb 10, 2008",40.065
"Feb 11, 2008",46.995
"Feb 12, 2008",42.232
"Feb 13, 2008",59.978
"Feb 14, 2008",95.211
"Feb 15, 2008",0
"Feb 16, 2008",0
"Feb 17, 2008",46.529
"Feb 18, 2008",35.299
"Feb 19, 2008",46.124
"Feb 20, 2008",56.468
"Feb 21, 2008",57.252
"Feb 22, 2008",53.643
"Feb 23, 2008",51.994
"Feb 24, 2008",48.952
"Feb 25, 2008",62.05
"Feb 26, 2008",58.807
"Feb 27, 2008",56.732
"Feb 28, 2008",55.417
"Feb 29, 2008",46.502
"Mar 1, 2008",52.658
"Mar 2, 2008",88.897
"Mar 3, 2008",71.683
"Mar 4, 2008",52.787
"Mar 5, 2008",82.084
"Mar 6, 2008",74.157
"Mar 7, 2008",64.446
"Mar 8, 2008",69.833
"Mar 9, 2008",63.203
"Mar 10, 2008",50.373
"Mar 11, 2008",54.141
"Mar 12, 2008",65.683
"Mar 13, 2008",89.416
"Mar 14, 2008",107.871
"Mar 15, 2008",98.526
"Mar 16, 2008",115.921
"Mar 17, 2008",65.905
"Mar 18, 2008",76.271
"Mar 19, 2008",56.648
"Mar 20, 2008",77.682
"Mar 21, 2008",69.539
"Mar 22, 2008",75.07
"Mar 23, 2008",93.809
"Mar 24, 2008",73.472
"Mar 25, 2008",85.285
"Mar 26, 2008",90.401
"Mar 27, 2008",83.768
"Mar 28, 2008",80.835
"Mar 29, 2008",92.425
"Mar 30, 2008",111.612
"Mar 31, 2008",83.009
"Apr 1, 2008",69.932
"Apr 2, 2008",95.241
"Apr 3, 2008",89.861
"Apr 4, 2008",63.993
"Apr 5, 2008",87.233
"Apr 6, 2008",95.154
"Apr 7, 2008",97.617
"Apr 8, 2008",85.618
"Apr 9, 2008",114.329
"Apr 10, 2008",106.841
"Apr 11, 2008",75.898
"Apr 12, 2008",86.948
"Apr 13, 2008",100.328
"Apr 14, 2008",88.032
"Apr 15, 2008",115.179
"Apr 16, 2008",130.346
"Apr 17, 2008",108.003
"Apr 18, 2008",78.231
"Apr 19, 2008",114.834
"Apr 20, 2008",105.114
"Apr 21, 2008",90.533
"Apr 22, 2008",76.295
"Apr 23, 2008",97.932
"Apr 24, 2008",101.196
"Apr 25, 2008",77.009
"Apr 26, 2008",81.799
"Apr 27, 2008",113.93
"Apr 28, 2008",96.554
"Apr 29, 2008",97.133
"Apr 30, 2008",140.885
"May 1, 2008",131.027
"May 2, 2008",93.728
"May 3, 2008",79.55
"May 4, 2008",80.186
"May 5, 2008",102.388
"May 6, 2008",103.979
"May 7, 2008",91.347
"May 8, 2008",95.719
"May 9, 2008",100.058
"May 10, 2008",93.992
"May 11, 2008",97.731
"May 12, 2008",122.527
"May 13, 2008",124.07
"May 14, 2008",89.164
"May 15, 2008",0
"May 16, 2008",78.535
"May 17, 2008",58.81
"May 18, 2008",53.063
"May 19, 2008",90.795
"May 20, 2008",110.723
"May 21, 2008",136.564
"May 22, 2008",140.435
"May 23, 2008",0
"May 24, 2008",68.557
"May 25, 2008",68.266
"May 26, 2008",78.382
"May 27, 2008",53.949
"May 28, 2008",59.282
"May 29, 2008",67.806
"May 30, 2008",69.533
"May 31, 2008",74.52
"Jun 1, 2008",77.358
"Jun 2, 2008",91.002
"Jun 3, 2008",92.779
"Jun 4, 2008",123.965
"Jun 5, 2008",113.783
"Jun 6, 2008",63.641
"Jun 7, 2008",89.972
"Jun 8, 2008",81.408
"Jun 9, 2008",63.152
"Jun 10, 2008",88.152
"Jun 11, 2008",116.179
"Jun 12, 2008",78.847
"Jun 13, 2008",70.83
"Jun 14, 2008",77.52
"Jun 15, 2008",86.095
"Jun 16, 2008",87.218
"Jun 17, 2008",88.329
"Jun 18, 2008",94.221
"Jun 19, 2008",94.518
"Jun 20, 2008",67.419
"Jun 21, 2008",0
"Jun 22, 2008",0
"Jun 23, 2008",76.442
"Jun 24, 2008",0
"Jun 25, 2008",80.721
"Jun 26, 2008",0
"Jun 27, 2008",0
"Jun 28, 2008",0
"Jun 29, 2008",61.699
"Jun 30, 2008",73.938
"Jul 1, 2008",0
"Jul 2, 2008",52.628
"Jul 3, 2008",51.174
"Jul 4, 2008",49.274
"Jul 5, 2008",0
"Jul 6, 2008",0
"Jul 7, 2008",0
"Jul 8, 2008",37.816
"Jul 9, 2008",0
"Jul 10, 2008",0
"Jul 11, 2008",0
"Jul 12, 2008",0
"Jul 13, 2008",0
"Jul 14, 2008",0
"Jul 15, 2008",22.94
"Jul 16, 2008",27.492
"Jul 17, 2008",28.72
"Jul 18, 2008",0
"Jul 19, 2008",0
"Jul 20, 2008",0
"Jul 21, 2008",0
"Jul 22, 2008",0
"Jul 23, 2008",0
"Jul 24, 2008",18.818
"Jul 25, 2008",0
"Jul 26, 2008",0
"Jul 27, 2008",0
"Jul 28, 2008",23.589
"Jul 29, 2008",28.483
"Jul 30, 2008",28.306
"Jul 31, 2008",28.799
"Aug 1, 2008",23.34
"Aug 2, 2008",0
"Aug 3, 2008",0
"Aug 4, 2008",23.036
"Aug 5, 2008",0
"Aug 6, 2008",0
"Aug 7, 2008",0
"Aug 8, 2008",0
"Aug 9, 2008",0
"Aug 10, 2008",0
"Aug 11, 2008",0
"Aug 12, 2008",0
"Aug 13, 2008",0
"Aug 14, 2008",0
"Aug 15, 2008",0
"Aug 16, 2008",13.596
"Aug 17, 2008",0
"Aug 18, 2008",0
"Aug 19, 2008",0
"Aug 20, 2008",18.271
