date,ndvi
"Apr 17, 2013",
"May 3, 2013",0.481
"May 19, 2013",0.493
"Jun 4, 2013",0.524
"Jun 20, 2013",0.537
"Jul 6, 2013",
"Jul 22, 2013",
"Aug 7, 2013",
"Aug 23, 2013",
"Sep 8, 2013",
"Sep 24, 2013",0.605
"Oct 10, 2013",
"Oct 26, 2013",0.45
"Nov 11, 2013",0.555
"Nov 27, 2013",
"Dec 13, 2013",0.594
"Dec 29, 2013",
"Jan 14, 2014",0.593
"Jan 30, 2014",
"Feb 15, 2014",0.508
"Mar 3, 2014",
"Mar 19, 2014",0.539
"Apr 4, 2014",0.475
"Apr 20, 2014",
"May 6, 2014",0.487
"May 22, 2014",
"Jun 7, 2014",0.53
"Jun 23, 2014",0.538
"Jul 9, 2014",
"Jul 25, 2014",
"Aug 10, 2014",
"Aug 26, 2014",0.603
"Sep 11, 2014",0.593
"Sep 27, 2014",
"Oct 13, 2014",0.571
"Oct 29, 2014",0.551
"Nov 14, 2014",0.554
"Nov 30, 2014",0.435
"Dec 16, 2014",
"Jan 1, 2015",
"Jan 17, 2015",0.621
"Feb 18, 2015",0.557
"Mar 6, 2015",0.534
"Mar 22, 2015",0.525
"Apr 7, 2015",0.502
"Apr 23, 2015",
"May 9, 2015",0.492
"May 25, 2015",0.477
"Jun 10, 2015",0.553
"Jun 26, 2015",0.549
"Jul 12, 2015",
"Jul 28, 2015",0.588
"Aug 13, 2015",0.613
"Aug 29, 2015",
"Sep 14, 2015",0.613
"Sep 30, 2015",0.602
"Oct 16, 2015",
"Nov 1, 2015",0.584
"Nov 17, 2015",
"Dec 3, 2015",0.579
"Dec 19, 2015",
"Jan 4, 2016",
"Jan 20, 2016",0.024
"Feb 5, 2016",-0.02
"Mar 8, 2016",
"Mar 24, 2016",0.529
"Apr 9, 2016",0.519
"Apr 25, 2016",0.501
"May 11, 2016",0.502
"May 27, 2016",0.519
"Jun 12, 2016",0.566
"Jun 28, 2016",0.477
"Jul 14, 2016",0.575
"Jul 30, 2016",0.531
"Aug 15, 2016",0.622
"Aug 31, 2016",
"Sep 16, 2016",0.609
"Oct 2, 2016",
"Oct 18, 2016",0.569
"Nov 3, 2016",
"Nov 19, 2016",0.564
"Dec 5, 2016",
"Jan 6, 2017",
"Jan 22, 2017",0.169
"Feb 7, 2017",
"Feb 23, 2017",0.609
"Mar 11, 2017",
"Mar 27, 2017",0.527
"Apr 12, 2017",0.49
"Apr 28, 2017",0.366
"May 14, 2017",
"May 30, 2017",
"Jun 15, 2017",0.537
"Jul 1, 2017",0.543
"Jul 17, 2017",
"Aug 2, 2017",
"Aug 18, 2017",0.579
"Sep 3, 2017",0.547
"Sep 19, 2017",0.559
"Oct 5, 2017",
"Oct 21, 2017",0.525
"Nov 6, 2017",0.521
"Nov 22, 2017",0.534
"Dec 8, 2017",
"Dec 24, 2017",
"Jan 9, 2018",
"Jan 25, 2018",0.544
"Feb 10, 2018",0.369
"Feb 26, 2018",0.532
"Mar 30, 2018",0.499
"Apr 15, 2018",0.482
