date,ndvi
"Apr 17, 1984",0.571
"May 3, 1984",0.569
"Jun 4, 1984",
"Jun 20, 1984",
"Jul 6, 1984",0.619
"Nov 27, 1984",0.313
"Dec 29, 1984",0.578
"Apr 4, 1985",0.572
"Apr 20, 1985",0.596
"Jul 25, 1985",0.656
"Aug 10, 1985",
"Aug 26, 1985",0.648
"Sep 11, 1985",
"Sep 27, 1985",0.651
"Oct 13, 1985",0.648
"Oct 29, 1985",0.654
"Nov 14, 1985",0.666
"Jan 17, 1986",0.671
"Feb 2, 1986",
"Feb 18, 1986",0.447
"Mar 22, 1986",0.401
"Apr 7, 1986",0.569
"Apr 23, 1986",0.59
"May 25, 1986",0.428
"Jun 10, 1986",0.641
"Jun 26, 1986",
"Jul 12, 1986",0.638
"Jul 28, 1986",0.411
"Aug 13, 1986",
"Sep 14, 1986",0.679
"Oct 16, 1986",0.606
"Nov 1, 1986",
"Nov 17, 1986",
"Dec 19, 1986",0.223
"Jan 4, 1987",0.522
"Jan 20, 1987",
"Feb 5, 1987",0.521
"Mar 25, 1987",
"Apr 10, 1987",0.581
"Apr 26, 1987",
"May 12, 1987",0.629
"May 28, 1987",0.604
"Jun 13, 1987",0.642
"Jun 29, 1987",0.66
"Jul 15, 1987",0.607
"Jul 31, 1987",
"Aug 16, 1987",0.693
"Sep 1, 1987",0.665
"Oct 3, 1987",0.661
"Oct 19, 1987",0.661
"Mar 27, 1988",0.409
"Apr 12, 1988",0.63
"May 14, 1988",0.617
"May 30, 1988",
"Jun 15, 1988",0.642
"Jul 1, 1988",
"Jul 17, 1988",
"Aug 2, 1988",
"Aug 18, 1988",
"Sep 3, 1988",
"Sep 19, 1988",0.674
"Oct 5, 1988",
"Oct 21, 1988",
"Apr 15, 1989",0.627
"May 1, 1989",0.599
"May 17, 1989",
"Jun 2, 1989",0.602
"Jun 18, 1989",
"Jul 4, 1989",0.628
"Jul 20, 1989",0.522
"Aug 21, 1989",
"Sep 6, 1989",
"Sep 22, 1989",0.66
"Oct 8, 1989",
"Oct 24, 1989",0.656
"Mar 17, 1990",0.439
"Apr 2, 1990",
"Apr 18, 1990",0.625
"May 4, 1990",0.543
"Jun 5, 1990",0.615
"Jun 21, 1990",0.605
"Jul 7, 1990",
"Aug 24, 1990",0.689
"Sep 9, 1990",0.666
"Oct 11, 1990",0.668
"Oct 27, 1990",0.655
"Mar 20, 1991",
"Apr 5, 1991",0.547
"Apr 21, 1991",0.604
"May 7, 1991",0.631
"May 23, 1991",0.63
"Jun 8, 1991",0.642
"Jun 24, 1991",0.662
"Jul 26, 1991",
"Aug 11, 1991",0.613
"Aug 27, 1991",
"Sep 12, 1991",
"Sep 28, 1991",0.58
"Oct 14, 1991",0.624
"Oct 30, 1991",
"Mar 22, 1992",
"Apr 23, 1992",0.417
"May 9, 1992",0.493
"May 25, 1992",
"Jun 10, 1992",0.616
"Jun 26, 1992",0.625
"Jul 12, 1992",0.643
"Aug 13, 1992",
"Sep 14, 1992",
"Sep 30, 1992",0.656
"Oct 16, 1992",0.63
"Nov 1, 1992",0.633
"Nov 17, 1992",0.648
"Jan 4, 1993",0.481
"Jan 20, 1993",0.173
"Feb 5, 1993",0.471
"Feb 21, 1993",0.504
"Mar 9, 1993",0.49
"Mar 25, 1993",0.552
"Apr 10, 1993",0.594
"Apr 26, 1993",0.422
"May 12, 1993",0.597
"May 28, 1993",0.6
"Jun 13, 1993",0.635
"Jun 29, 1993",0.65
"Jul 31, 1993",0.679
"Aug 16, 1993",
"Sep 1, 1993",0.618
"Sep 17, 1993",0.689
"Oct 3, 1993",0.649
"Oct 19, 1993",
"Nov 4, 1993",
"Nov 20, 1993",0.542
"Dec 6, 1993",0.682
"Dec 22, 1993",0.304
"Jan 7, 1994",0.681
"Jan 23, 1994",
"Feb 24, 1994",0.603
"Mar 12, 1994",0.497
"Mar 28, 1994",
"Apr 13, 1994",0.627
"Apr 29, 1994",0.639
"May 15, 1994",0.604
"May 31, 1994",
"Jun 16, 1994",0.658
"Jul 2, 1994",
"Jul 18, 1994",
"Aug 3, 1994",0.57
"Aug 19, 1994",
"Sep 4, 1994",
"Sep 20, 1994",
"Oct 22, 1994",0.537
"Nov 7, 1994",
"Nov 23, 1994",0.524
"Dec 9, 1994",0.575
"Jan 10, 1995",
"Feb 11, 1995",
"Feb 27, 1995",
"Mar 15, 1995",0.504
"Mar 31, 1995",0.522
"Apr 16, 1995",
"May 2, 1995",0.514
"May 18, 1995",
"Jun 3, 1995",0.508
"Jun 19, 1995",0.529
"Jul 5, 1995",0.536
"Jul 21, 1995",0.52
"Aug 6, 1995",0.558
"Aug 22, 1995",0.518
"Sep 7, 1995",
"Sep 23, 1995",
"Oct 9, 1995",0.562
"Oct 25, 1995",0.57
"Nov 10, 1995",0.582
"Nov 26, 1995",
"Dec 12, 1995",0.595
"Jan 13, 1996",0.583
"Jan 29, 1996",0.583
"Feb 14, 1996",0.502
"Mar 1, 1996",
"Mar 17, 1996",0.504
"Apr 2, 1996",0.527
"Apr 18, 1996",0.529
"May 4, 1996",0.522
"May 20, 1996",0.54
"Jun 5, 1996",0.526
"Jun 21, 1996",
"Jul 7, 1996",0.529
"Jul 23, 1996",0.569
"Aug 8, 1996",
"Aug 24, 1996",
"Sep 25, 1996",
"Oct 11, 1996",0.559
"Nov 12, 1996",0.548
"Nov 28, 1996",
"Dec 14, 1996",0.55
"Dec 30, 1996",0.375
"Jan 15, 1997",0.142
"Jan 31, 1997",0.472
"Feb 16, 1997",0.32
"Mar 4, 1997",
"Mar 20, 1997",0.498
"Apr 5, 1997",
"Apr 21, 1997",0.413
"May 7, 1997",0.504
"May 23, 1997",
"Jun 8, 1997",0.54
"Jun 24, 1997",0.553
"Jul 26, 1997",
"Aug 27, 1997",0.587
"Sep 12, 1997",
"Sep 28, 1997",0.593
"Oct 14, 1997",0.562
"Dec 1, 1997",
"Dec 17, 1997",0.295
"Jan 2, 1998",
"Jan 18, 1998",
"Feb 3, 1998",0.423
"Feb 19, 1998",
"Mar 7, 1998",
"Mar 23, 1998",
"Apr 8, 1998",
"Apr 24, 1998",0.517
"May 10, 1998",0.496
"May 26, 1998",0.506
"Jun 11, 1998",0.536
"Jun 27, 1998",0.552
"Jul 13, 1998",0.455
"Jul 29, 1998",
"Aug 14, 1998",
"Aug 30, 1998",0.591
"Oct 1, 1998",0.566
"Nov 2, 1998",0.559
"Nov 18, 1998",0.552
"Dec 4, 1998",0.474
